trade_date,contract,close,source
2026-01-22,ZQZ26,96.7750,yahoo
2026-01-22,ZQZ27,96.7500,yahoo
2026-01-23,ZQF27,96.8000,yahoo
2026-01-23,ZQF28,96.8450,yahoo
2026-01-23,ZQG27,96.8000,yahoo
2026-01-23,ZQG28,96.8300,yahoo
2026-01-23,ZQH27,96.8000,yahoo
2026-01-23,ZQJ27,96.7950,yahoo
2026-01-23,ZQK27,96.7850,yahoo
2026-01-23,ZQM27,96.7850,yahoo
2026-01-23,ZQN27,96.7750,yahoo
2026-01-23,ZQQ27,96.7550,yahoo
2026-01-23,ZQU26,96.6550,yahoo
2026-01-23,ZQU27,96.7550,yahoo
2026-01-23,ZQV26,96.7100,yahoo
2026-01-23,ZQV27,96.7500,yahoo
2026-01-23,ZQX26,96.7500,yahoo
2026-01-23,ZQX27,96.7300,yahoo
2026-01-23,ZQZ26,96.7850,yahoo
2026-01-23,ZQZ27,96.7650,yahoo
2026-01-26,ZQF27,96.8250,yahoo
2026-01-26,ZQF28,96.8650,yahoo
2026-01-26,ZQG27,96.8200,yahoo
2026-01-26,ZQG28,96.8500,yahoo
2026-01-26,ZQH27,96.8200,yahoo
2026-01-26,ZQJ27,96.8150,yahoo
2026-01-26,ZQK27,96.8050,yahoo
2026-01-26,ZQM27,96.8050,yahoo
2026-01-26,ZQN27,96.7950,yahoo
2026-01-26,ZQQ27,96.7750,yahoo
2026-01-26,ZQU26,96.6700,yahoo
2026-01-26,ZQU27,96.7750,yahoo
2026-01-26,ZQV26,96.7300,yahoo
2026-01-26,ZQV27,96.7700,yahoo
2026-01-26,ZQX26,96.7750,yahoo
2026-01-26,ZQX27,96.7500,yahoo
2026-01-26,ZQZ26,96.8100,yahoo
2026-01-26,ZQZ27,96.7850,yahoo
2026-01-27,ZQF27,96.8500,yahoo
2026-01-27,ZQF28,96.8950,yahoo
2026-01-27,ZQG27,96.8500,yahoo
2026-01-27,ZQG28,96.8800,yahoo
2026-01-27,ZQH27,96.8500,yahoo
2026-01-27,ZQJ27,96.8450,yahoo
2026-01-27,ZQK27,96.8350,yahoo
2026-01-27,ZQM27,96.8350,yahoo
2026-01-27,ZQN27,96.8250,yahoo
2026-01-27,ZQQ27,96.8050,yahoo
2026-01-27,ZQU26,96.6950,yahoo
2026-01-27,ZQU27,96.8050,yahoo
2026-01-27,ZQV26,96.7550,yahoo
2026-01-27,ZQV27,96.8000,yahoo
2026-01-27,ZQX26,96.8000,yahoo
2026-01-27,ZQX27,96.7800,yahoo
2026-01-27,ZQZ26,96.8350,yahoo
2026-01-27,ZQZ27,96.8150,yahoo
2026-01-28,ZQF27,96.8250,yahoo
2026-01-28,ZQF28,96.8550,yahoo
2026-01-28,ZQG27,96.8250,yahoo
2026-01-28,ZQG28,96.8400,yahoo
2026-01-28,ZQH27,96.8250,yahoo
2026-01-28,ZQJ27,96.8200,yahoo
2026-01-28,ZQK27,96.8050,yahoo
2026-01-28,ZQM27,96.7950,yahoo
2026-01-28,ZQN27,96.7850,yahoo
2026-01-28,ZQQ27,96.7650,yahoo
2026-01-28,ZQU26,96.6750,yahoo
2026-01-28,ZQU27,96.7650,yahoo
2026-01-28,ZQV26,96.7350,yahoo
2026-01-28,ZQV27,96.7600,yahoo
2026-01-28,ZQX26,96.7800,yahoo
2026-01-28,ZQX27,96.7400,yahoo
2026-01-28,ZQZ26,96.8150,yahoo
2026-01-28,ZQZ27,96.7750,yahoo
2026-01-29,ZQF27,96.8500,yahoo
2026-01-29,ZQF28,96.8850,yahoo
2026-01-29,ZQG27,96.8500,yahoo
2026-01-29,ZQG28,96.8700,yahoo
2026-01-29,ZQH27,96.8500,yahoo
2026-01-29,ZQJ27,96.8500,yahoo
2026-01-29,ZQK27,96.8350,yahoo
2026-01-29,ZQM27,96.8250,yahoo
2026-01-29,ZQN27,96.8150,yahoo
2026-01-29,ZQQ27,96.7950,yahoo
2026-01-29,ZQU26,96.6900,yahoo
2026-01-29,ZQU27,96.7950,yahoo
2026-01-29,ZQV26,96.7500,yahoo
2026-01-29,ZQV27,96.7900,yahoo
2026-01-29,ZQX26,96.8000,yahoo
2026-01-29,ZQX27,96.7700,yahoo
2026-01-29,ZQZ26,96.8350,yahoo
2026-01-29,ZQZ27,96.8050,yahoo
2026-01-30,ZQF27,96.8950,yahoo
2026-01-30,ZQF28,96.9300,yahoo
2026-01-30,ZQG27,96.8950,yahoo
2026-01-30,ZQG28,96.9150,yahoo
2026-01-30,ZQH27,96.8950,yahoo
2026-01-30,ZQJ27,96.8950,yahoo
2026-01-30,ZQK27,96.8800,yahoo
2026-01-30,ZQM27,96.8700,yahoo
2026-01-30,ZQN27,96.8600,yahoo
2026-01-30,ZQQ27,96.8400,yahoo
2026-01-30,ZQU26,96.7200,yahoo
2026-01-30,ZQU27,96.8400,yahoo
2026-01-30,ZQV26,96.7850,yahoo
2026-01-30,ZQV27,96.8350,yahoo
2026-01-30,ZQX26,96.8400,yahoo
2026-01-30,ZQX27,96.8150,yahoo
2026-01-30,ZQZ26,96.8800,yahoo
2026-01-30,ZQZ27,96.8500,yahoo
2026-02-02,ZQF27,96.8450,yahoo
2026-02-02,ZQF28,96.8850,yahoo
2026-02-02,ZQG27,96.8450,yahoo
2026-02-02,ZQG28,96.8700,yahoo
2026-02-02,ZQH27,96.8450,yahoo
2026-02-02,ZQJ27,96.8450,yahoo
2026-02-02,ZQK27,96.8300,yahoo
2026-02-02,ZQM27,96.8200,yahoo
2026-02-02,ZQN27,96.8150,yahoo
2026-02-02,ZQQ27,96.7950,yahoo
2026-02-02,ZQU26,96.6800,yahoo
2026-02-02,ZQU27,96.7950,yahoo
2026-02-02,ZQV26,96.7400,yahoo
2026-02-02,ZQV27,96.7900,yahoo
2026-02-02,ZQX26,96.7900,yahoo
2026-02-02,ZQX27,96.7700,yahoo
2026-02-02,ZQZ26,96.8300,yahoo
2026-02-02,ZQZ27,96.8050,yahoo
2026-02-03,ZQF27,96.8500,yahoo
2026-02-03,ZQF28,96.8950,yahoo
2026-02-03,ZQG27,96.8500,yahoo
2026-02-03,ZQG28,96.8800,yahoo
2026-02-03,ZQH27,96.8500,yahoo
2026-02-03,ZQJ27,96.8500,yahoo
2026-02-03,ZQK27,96.8350,yahoo
2026-02-03,ZQM27,96.8250,yahoo
2026-02-03,ZQN27,96.8200,yahoo
2026-02-03,ZQQ27,96.8000,yahoo
2026-02-03,ZQU26,96.6700,yahoo
2026-02-03,ZQU27,96.8000,yahoo
2026-02-03,ZQV26,96.7350,yahoo
2026-02-03,ZQV27,96.7950,yahoo
2026-02-03,ZQX26,96.7900,yahoo
2026-02-03,ZQX27,96.7750,yahoo
2026-02-03,ZQZ26,96.8350,yahoo
2026-02-03,ZQZ27,96.8150,yahoo
2026-02-04,ZQF27,96.8550,yahoo
2026-02-04,ZQF28,96.8950,yahoo
2026-02-04,ZQG27,96.8550,yahoo
2026-02-04,ZQG28,96.8800,yahoo
2026-02-04,ZQH27,96.8550,yahoo
2026-02-04,ZQJ27,96.8550,yahoo
2026-02-04,ZQK27,96.8400,yahoo
2026-02-04,ZQM27,96.8300,yahoo
2026-02-04,ZQN27,96.8250,yahoo
2026-02-04,ZQQ27,96.8050,yahoo
2026-02-04,ZQU26,96.6700,yahoo
2026-02-04,ZQU27,96.8050,yahoo
2026-02-04,ZQV26,96.7400,yahoo
2026-02-04,ZQV27,96.7950,yahoo
2026-02-04,ZQX26,96.7950,yahoo
2026-02-04,ZQX27,96.7750,yahoo
2026-02-04,ZQZ26,96.8400,yahoo
2026-02-04,ZQZ27,96.8150,yahoo
2026-02-05,ZQF27,96.9350,yahoo
2026-02-05,ZQF28,96.9750,yahoo
2026-02-05,ZQG27,96.9350,yahoo
2026-02-05,ZQG28,96.9600,yahoo
2026-02-05,ZQH27,96.9350,yahoo
2026-02-05,ZQJ27,96.9350,yahoo
2026-02-05,ZQK27,96.9200,yahoo
2026-02-05,ZQM27,96.9100,yahoo
2026-02-05,ZQN27,96.9050,yahoo
2026-02-05,ZQQ27,96.8850,yahoo
2026-02-05,ZQU26,96.7600,yahoo
2026-02-05,ZQU27,96.8850,yahoo
2026-02-05,ZQV26,96.8300,yahoo
2026-02-05,ZQV27,96.8750,yahoo
2026-02-05,ZQX26,96.8850,yahoo
2026-02-05,ZQX27,96.8550,yahoo
2026-02-05,ZQZ26,96.9250,yahoo
2026-02-05,ZQZ27,96.8950,yahoo
2026-02-06,ZQF27,96.9150,yahoo
2026-02-06,ZQF28,96.9600,yahoo
2026-02-06,ZQG27,96.9150,yahoo
2026-02-06,ZQG28,96.9450,yahoo
2026-02-06,ZQH27,96.9150,yahoo
2026-02-06,ZQJ27,96.9150,yahoo
2026-02-06,ZQK27,96.9000,yahoo
2026-02-06,ZQM27,96.8950,yahoo
2026-02-06,ZQN27,96.8900,yahoo
2026-02-06,ZQQ27,96.8700,yahoo
2026-02-06,ZQU26,96.7400,yahoo
2026-02-06,ZQU27,96.8700,yahoo
2026-02-06,ZQV26,96.8100,yahoo
2026-02-06,ZQV27,96.8600,yahoo
2026-02-06,ZQX26,96.8600,yahoo
2026-02-06,ZQX27,96.8400,yahoo
2026-02-06,ZQZ26,96.9000,yahoo
2026-02-06,ZQZ27,96.8800,yahoo
2026-02-09,ZQF27,96.9300,yahoo
2026-02-09,ZQF28,96.9750,yahoo
2026-02-09,ZQG27,96.9300,yahoo
2026-02-09,ZQG28,96.9600,yahoo
2026-02-09,ZQH27,96.9300,yahoo
2026-02-09,ZQJ27,96.9300,yahoo
2026-02-09,ZQK27,96.9150,yahoo
2026-02-09,ZQM27,96.9100,yahoo
2026-02-09,ZQN27,96.9050,yahoo
2026-02-09,ZQQ27,96.8850,yahoo
2026-02-09,ZQU26,96.7550,yahoo
2026-02-09,ZQU27,96.8850,yahoo
2026-02-09,ZQV26,96.8250,yahoo
2026-02-09,ZQV27,96.8750,yahoo
2026-02-09,ZQX26,96.8750,yahoo
2026-02-09,ZQX27,96.8550,yahoo
2026-02-09,ZQZ26,96.9150,yahoo
2026-02-09,ZQZ27,96.8950,yahoo
2026-02-10,ZQF27,96.9550,yahoo
2026-02-10,ZQF28,97.0200,yahoo
2026-02-10,ZQG27,96.9600,yahoo
2026-02-10,ZQG28,97.0050,yahoo
2026-02-10,ZQH27,96.9650,yahoo
2026-02-10,ZQJ27,96.9700,yahoo
2026-02-10,ZQK27,96.9600,yahoo
2026-02-10,ZQM27,96.9550,yahoo
2026-02-10,ZQN27,96.9500,yahoo
2026-02-10,ZQQ27,96.9300,yahoo
2026-02-10,ZQU26,96.7700,yahoo
2026-02-10,ZQU27,96.9300,yahoo
2026-02-10,ZQV26,96.8400,yahoo
2026-02-10,ZQV27,96.9200,yahoo
2026-02-10,ZQX26,96.8950,yahoo
2026-02-10,ZQX27,96.9000,yahoo
2026-02-10,ZQZ26,96.9400,yahoo
2026-02-10,ZQZ27,96.9400,yahoo
2026-02-11,ZQF27,96.8900,yahoo
2026-02-11,ZQF28,96.9650,yahoo
2026-02-11,ZQG27,96.9050,yahoo
2026-02-11,ZQG28,96.9500,yahoo
2026-02-11,ZQH27,96.9100,yahoo
2026-02-11,ZQJ27,96.9150,yahoo
2026-02-11,ZQK27,96.9050,yahoo
2026-02-11,ZQM27,96.9000,yahoo
2026-02-11,ZQN27,96.8950,yahoo
2026-02-11,ZQQ27,96.8750,yahoo
2026-02-11,ZQU26,96.6850,yahoo
2026-02-11,ZQU27,96.8750,yahoo
2026-02-11,ZQV26,96.7600,yahoo
2026-02-11,ZQV27,96.8650,yahoo
2026-02-11,ZQX26,96.8200,yahoo
2026-02-11,ZQX27,96.8450,yahoo
2026-02-11,ZQZ26,96.8700,yahoo
2026-02-11,ZQZ27,96.8850,yahoo
2026-02-12,ZQF27,96.9400,yahoo
2026-02-12,ZQF28,97.0300,yahoo
2026-02-12,ZQG27,96.9550,yahoo
2026-02-12,ZQG28,97.0150,yahoo
2026-02-12,ZQH27,96.9600,yahoo
2026-02-12,ZQJ27,96.9700,yahoo
2026-02-12,ZQK27,96.9600,yahoo
2026-02-12,ZQM27,96.9600,yahoo
2026-02-12,ZQN27,96.9600,yahoo
2026-02-12,ZQQ27,96.9400,yahoo
2026-02-12,ZQU26,96.7150,yahoo
2026-02-12,ZQU27,96.9400,yahoo
2026-02-12,ZQV26,96.7950,yahoo
2026-02-12,ZQV27,96.9300,yahoo
2026-02-12,ZQX26,96.8600,yahoo
2026-02-12,ZQX27,96.9100,yahoo
2026-02-12,ZQZ26,96.9150,yahoo
2026-02-12,ZQZ27,96.9500,yahoo
2026-02-13,ZQF27,97.0000,yahoo
2026-02-13,ZQF28,97.1150,yahoo
2026-02-13,ZQG27,97.0250,yahoo
2026-02-13,ZQG28,97.1000,yahoo
2026-02-13,ZQH27,97.0350,yahoo
